asin,url,title,price,rating,review_count,description,features,details,variations,images,brand,crawl_date
B0B45LL4DD,https://www.amazon.com/dp/B0B45LL4DD,"Beauty of Joseon Revive Eye Serum with Retinal Niacinamide Correction for Puffy Eye Bags Fine Lines Dark Circles Wrinkles, Korean Skin Care 30ml, 1 fl.oz",16.99,4.3,9245,"About this item
Ginseng and Retinol Synergy: Experience the power of ginseng and retinol working in perfect harmony. This serum is a tribute to age-old Korean beauty wisdom, bringing you the best of nature's rejuvenating elements.
Youthful Radiance: Unveil brighter, more youthful eyes as the serum addresses fine lines, wrinkles, and signs of fatigue. Let the potent blend of ingredients breathe life into your skin, leaving you with a radiant and revitalized gaze.
Key Ingredients: Ginseng Extract for skin elasticity and protection, Retinal for reduction of wrinkles and Niacinamide for brightness
Deep Hydration: Ginseng root extract deeply moisturizes, maintaining skin vitality. Unveil well-nourished, age-defying skin with lasting moisture.
Great Gift: Perfect for grand parents, moms, dads, girlfriends and boyfriends as a birthday gift and event for special occasions. Present your loved ones with this eye cream serum.","[""Ginseng and Retinol Synergy: Experience the power of ginseng and retinol working in perfect harmony. This serum is a tribute to age-old Korean beauty wisdom, bringing you the best of nature's rejuvenating elements."", ""Youthful Radiance: Unveil brighter, more youthful eyes as the serum addresses fine lines, wrinkles, and signs of fatigue. Let the potent blend of ingredients breathe life into your skin, leaving you with a radiant and revitalized gaze."", ""Key Ingredients: Ginseng Extract for skin elasticity and protection, Retinal for reduction of wrinkles and Niacinamide for brightness"", ""Deep Hydration: Ginseng root extract deeply moisturizes, maintaining skin vitality. Unveil well-nourished, age-defying skin with lasting moisture."", ""Great Gift: Perfect for grand parents, moms, dads, girlfriends and boyfriends as a birthday gift and event for special occasions. Present your loved ones with this eye cream serum.""]","{""Product Dimensions"": ""1.06 x 1.26 x 6.26 inches; 1.76 ounces"", ""Item model number"": ""JSMS01-I"", ""Manufacturer"": ""GREEN COS Co., Ltd."", ""ASIN"": ""B0B45LL4DD"", ""Best Sellers Rank"": ""#151 in Beauty & Personal Care (See Top 100 in Beauty & Personal Care)\n#1 in Eye Treatment Serums"", ""Customer Reviews"": ""4.3\n(9,245)""}",[],"[""https://m.media-amazon.com/images/I/31ZNIWikbtL.jpg"", ""https://m.media-amazon.com/images/I/415bYG1XH+L.jpg"", ""https://m.media-amazon.com/images/I/51tRDrUINrL.jpg"", ""https://m.media-amazon.com/images/I/41lLagZJSuL.jpg"", ""https://m.media-amazon.com/images/I/41OHNYcUJvL.jpg"", ""https://m.media-amazon.com/images/I/41NBzZTCzPL.jpg"", ""https://m.media-amazon.com/images/I/513Wzpo-b4L.jpg""]",,2025-04-15 17:38:03
B0CTC25796,https://www.amazon.com/dp/B0CTC25796,"Beauty of Joseon Revive Eye Serum with Retinal Niacinamide Correction for Puffy Eye Bags Fine Lines Dark Circles Wrinkles, Korean Skin Care 30ml, 1 fl.oz, 2 Packs",16.99,4.3,9245,"About this item
Ginseng and Retinol Synergy: Experience the power of ginseng and retinol working in perfect harmony. This serum is a tribute to age-old Korean beauty wisdom, bringing you the best of nature's rejuvenating elements.
Youthful Radiance: Unveil brighter, more youthful eyes as the serum addresses fine lines, wrinkles, and signs of fatigue. Let the potent blend of ingredients breathe life into your skin, leaving you with a radiant and revitalized gaze.
Key Ingredients: Ginseng Extract for skin elasticity and protection, Retinal for reduction of wrinkles and Niacinamide for brightness
Deep Hydration: Ginseng root extract deeply moisturizes, maintaining skin vitality. Unveil well-nourished, age-defying skin with lasting moisture.
Great Gift: Perfect for grand parents, moms, dads, girlfriends and boyfriends as a birthday gift and event for special occasions. Present your loved ones with this eye cream serum.","[""Ginseng and Retinol Synergy: Experience the power of ginseng and retinol working in perfect harmony. This serum is a tribute to age-old Korean beauty wisdom, bringing you the best of nature's rejuvenating elements."", ""Youthful Radiance: Unveil brighter, more youthful eyes as the serum addresses fine lines, wrinkles, and signs of fatigue. Let the potent blend of ingredients breathe life into your skin, leaving you with a radiant and revitalized gaze."", ""Key Ingredients: Ginseng Extract for skin elasticity and protection, Retinal for reduction of wrinkles and Niacinamide for brightness"", ""Deep Hydration: Ginseng root extract deeply moisturizes, maintaining skin vitality. Unveil well-nourished, age-defying skin with lasting moisture."", ""Great Gift: Perfect for grand parents, moms, dads, girlfriends and boyfriends as a birthday gift and event for special occasions. Present your loved ones with this eye cream serum.""]","{""Package Dimensions"": ""6.81 x 2.99 x 1.14 inches; 3.84 ounces"", ""Manufacturer"": ""GREEN COS Co., Ltd."", ""ASIN"": ""B0CTC25796"", ""Best Sellers Rank"": ""#156 in Beauty & Personal Care (See Top 100 in Beauty & Personal Care)\n#1 in Eye Treatment Serums"", ""Customer Reviews"": ""4.3\n(9,245)""}",[],"[""https://m.media-amazon.com/images/I/31qr6t6tgnL.jpg"", ""https://m.media-amazon.com/images/I/31SqabHsufL.jpg"", ""https://m.media-amazon.com/images/I/41GCzPXRb6L.jpg"", ""https://m.media-amazon.com/images/I/41lLagZJSuL.jpg"", ""https://m.media-amazon.com/images/I/51tRDrUINrL.jpg"", ""https://m.media-amazon.com/images/I/41NBzZTCzPL.jpg"", ""https://m.media-amazon.com/images/I/41OHNYcUJvL.jpg""]",,2025-04-15 17:38:59
B09DLFCB69,https://www.amazon.com/dp/B09DLFCB69,Beauty of Joseon Glow Deep Serum Rice + Alpha-Arbutin,16.99,4.4,5132,"About this item
Radiant Revelation: Unveil the beauty secrets of Joseon with the Glow Deep Serum, a meticulously crafted blend of rice and alpha-arbutin for unparalleled radiance. Address dark spots, discoloration, and acne scars with a powerful formula enriched with rice and alpha arbutin.
Korean Skincare Essential: Elevate your skincare routine with the Beauty of Joseon Glow Deep Serum, a commitment to timeless k-beauty secrets that unlocks the path to glowing, flawless skin.
Key Ingredients: Rice Water 68%: Moisturizing, hydration and glowing. Alpha-Albutin 2%: Radiance, dark spots, skin protection and pigmentation. Niacinamide: Skin tone, skin barrier and acne care.
Deep Hydration, Rice Bran: Rice bran water moisturizes, enhances suppleness. Experience intense hydration alongside pigmentation correction for ultimate skin health.
Tackle Skin Concerns: Suited for all skin types, even sensitive. Tackle uneven tone, dark spots, and dryness. Reveal luminosity and confidence in your skin's journey.","[""Radiant Revelation: Unveil the beauty secrets of Joseon with the Glow Deep Serum, a meticulously crafted blend of rice and alpha-arbutin for unparalleled radiance. Address dark spots, discoloration, and acne scars with a powerful formula enriched with rice and alpha arbutin."", ""Korean Skincare Essential: Elevate your skincare routine with the Beauty of Joseon Glow Deep Serum, a commitment to timeless k-beauty secrets that unlocks the path to glowing, flawless skin."", ""Key Ingredients: Rice Water 68%: Moisturizing, hydration and glowing. Alpha-Albutin 2%: Radiance, dark spots, skin protection and pigmentation. Niacinamide: Skin tone, skin barrier and acne care."", ""Deep Hydration, Rice Bran: Rice bran water moisturizes, enhances suppleness. Experience intense hydration alongside pigmentation correction for ultimate skin health."", ""Tackle Skin Concerns: Suited for all skin types, even sensitive. Tackle uneven tone, dark spots, and dryness. Reveal luminosity and confidence in your skin's journey.""]","{""Product Dimensions"": ""3.9 x 3.1 x 1.6 inches; 2.4 ounces"", ""Item model number"": ""8809738312728"", ""Manufacturer"": ""Beauty of Joseon"", ""ASIN"": ""B09DLFCB69"", ""Best Sellers Rank"": ""#1,046 in Beauty & Personal Care (See Top 100 in Beauty & Personal Care)\n#31 in Facial Serums"", ""Customer Reviews"": ""4.4\n(5,132)""}",[],"[""https://m.media-amazon.com/images/I/31bNZ1wmTfL.jpg"", ""https://m.media-amazon.com/images/I/51XZYC5maAL.jpg"", ""https://m.media-amazon.com/images/I/516mE0Lq9xL.jpg"", ""https://m.media-amazon.com/images/I/51gfTBJ4d7L.jpg"", ""https://m.media-amazon.com/images/I/41gqBIS449L.jpg"", ""https://m.media-amazon.com/images/I/41UIxjKFDfL.jpg"", ""https://m.media-amazon.com/images/I/41NMBd42P2L.jpg""]",,2025-04-15 17:39:55
B0B3R1R2DG,https://www.amazon.com/dp/B0B3R1R2DG,"Beauty of Joseon Revive Snail Mucin Ginseng Serum Hydrating Peptide Facial Moisturizer Dark Spot Acne Scar Remover for Sensitive Face. Korean Skin Care for Men and Women, 30ml, 1fl. oz",16.99,4.5,1906,"About this item
Revitalize Your Skin: Beauty of Joseon Revive Serum Ginseng+Snail Mucin combines snail mucin and ginseng for a powerful skincare experience.
Youthful Radiance: Address acne scar and achieve deep hydration with this serum, leaving your skin plump and visibly youthful.
Versatile Skincare: Snail mucin, ginseng and peptide-rich formula care the skin's barrier, making it suitable for dry, acne-prone skin. Corrects dark spots for an even complexion.
Great Gift: Perfect for grand parents, moms, dads, girlfriends and boyfriends as a birthday gift and event for special occasions. Present your loved ones with this ginseng cleansing oil korean skincare.
""Comprehensive Solution: Use it as a makeup line, snail mucin moisturizer, or eye cream. Lightweight texture absorbs quickly, suitable for all skin types.","[""Revitalize Your Skin: Beauty of Joseon Revive Serum Ginseng+Snail Mucin combines snail mucin and ginseng for a powerful skincare experience."", ""Youthful Radiance: Address acne scar and achieve deep hydration with this serum, leaving your skin plump and visibly youthful."", ""Versatile Skincare: Snail mucin, ginseng and peptide-rich formula care the skin's barrier, making it suitable for dry, acne-prone skin. Corrects dark spots for an even complexion."", ""Great Gift: Perfect for grand parents, moms, dads, girlfriends and boyfriends as a birthday gift and event for special occasions. Present your loved ones with this ginseng cleansing oil korean skincare."", ""\""Comprehensive Solution: Use it as a makeup line, snail mucin moisturizer, or eye cream. Lightweight texture absorbs quickly, suitable for all skin types.""]","{""Product Dimensions"": ""1.73 x 1.73 x 3.78 inches; 2.4 ounces"", ""Item model number"": ""8809738316139"", ""UPC"": ""889810315838"", ""Manufacturer"": ""BEAUTY OF JOSEON"", ""ASIN"": ""B0B3R1R2DG"", ""Best Sellers Rank"": ""#4,278 in Beauty & Personal Care (See Top 100 in Beauty & Personal Care)\n#108 in Facial Serums"", ""Customer Reviews"": ""4.5\n(1,906)""}",[],"[""https://m.media-amazon.com/images/I/3183ibwtRzL.jpg"", ""https://m.media-amazon.com/images/I/41bP2cUlOtL.jpg"", ""https://m.media-amazon.com/images/I/41URP68+h3L.jpg"", ""https://m.media-amazon.com/images/I/41URP68+h3L.jpg"", ""https://m.media-amazon.com/images/I/41mTN6CP6CL.jpg"", ""https://m.media-amazon.com/images/I/41kQU-W243L.jpg"", ""https://m.media-amazon.com/images/I/41IXhG2gZaL.jpg""]",,2025-04-15 17:40:52
B0BBQZVQS3,https://www.amazon.com/dp/B0BBQZVQS3,"Beauty of Joseon Calming Serum Green Tea Panthenol Soothing, Moisturizing Sensitive, Acne-Prone, UV Irritated Skin, Daily Korean Skin Care for Men and Women, 30ml 1 fl.oz",16.89,4.5,851,"About this item
Soothing & Calming: Indulge in the calming embrace of Mugwort and Green Tea, specially formulated to soothe even the most sensitive skin, providing a tranquil and relaxing effect.
Hydration Boost: Immerse your skin in a surge of moisture with the power of Green Tea, Mugwort, and Panthenol, leaving it plump and rejuvenated.
Glowing Complexion: Experience a radiant glow as the serum revitalizes and energizes your skin, unveiling a natural and healthy luminosity.
Timeless Beauty: Harness the timeless beauty inspired by centuries of oriental wisdom, as this serum combines natural ingredients for a skincare ritual that is both effective and rooted in tradition.
Great Gift: Perfect for grand parents, moms, dads, girlfriends and boyfriends as a birthday gift and event for special occasions. Present your loved ones with this ginseng cleansing oil korean skincare.","[""Soothing & Calming: Indulge in the calming embrace of Mugwort and Green Tea, specially formulated to soothe even the most sensitive skin, providing a tranquil and relaxing effect."", ""Hydration Boost: Immerse your skin in a surge of moisture with the power of Green Tea, Mugwort, and Panthenol, leaving it plump and rejuvenated."", ""Glowing Complexion: Experience a radiant glow as the serum revitalizes and energizes your skin, unveiling a natural and healthy luminosity."", ""Timeless Beauty: Harness the timeless beauty inspired by centuries of oriental wisdom, as this serum combines natural ingredients for a skincare ritual that is both effective and rooted in tradition."", ""Great Gift: Perfect for grand parents, moms, dads, girlfriends and boyfriends as a birthday gift and event for special occasions. Present your loved ones with this ginseng cleansing oil korean skincare.""]","{""Product Dimensions"": ""3.15 x 1.57 x 3.94 inches; 1.06 ounces"", ""Item model number"": ""8809738316412"", ""ASIN"": ""B0BBQZVQS3"", ""Best Sellers Rank"": ""#7,385 in Beauty & Personal Care (See Top 100 in Beauty & Personal Care)\n#172 in Facial Serums"", ""Customer Reviews"": ""4.5\n(851)""}",[],"[""https://m.media-amazon.com/images/I/4130Zk4cedL.jpg"", ""https://m.media-amazon.com/images/I/21zu5HR8i1L.jpg"", ""https://m.media-amazon.com/images/I/31Y6R4x4-wL.jpg"", ""https://m.media-amazon.com/images/I/31tZsa9qHQL.jpg"", ""https://m.media-amazon.com/images/I/419ux0HPS6L.jpg"", ""https://m.media-amazon.com/images/I/41FA9n3BKnL.jpg"", ""https://m.media-amazon.com/images/I/41OLvn9LIWL.jpg""]",,2025-04-15 17:42:33
B08WJQ3XJD,https://www.amazon.com/dp/B08WJQ3XJD,"Beauty of Joseon Dynasty Cream Hydrating Face Moisturizer for Dry, Sensitive Skin, Korean Skincare for Men and Women 50ml, 1.69 fl.oz.",16.99,4.5,3879,"Long Lasting Hydration, All Day Long: With a unique blend of 2% niacinamide and 2% squalane, Dynasty Cream expertly maintains your skin's oil-moisture balance. Immerse your skin with Dynasty Cream. Specially formulated to address dry skin, this Korean moisturizer reigns supreme in hydrating your face.
Radiant Dewy Complexion: Dynasty Cream stands out with its luxuriously dense and firm texture, a hallmark of Beauty of Joseon's creams. This proprietary texture offers more than just moisture; it delivers a dewy, radiant finish to your skin.
All-in-One Solution: Dynasty Cream isn't just any moisturizer – it's your complete skincare solution. Packed with multiple benefits, it balances oil and moisture, protects from external elements, and enhances your skin's radiance. Experience the power of an all-in-one cream that simplifies your skincare routine while delivering remarkable results.
Double Moisturizer: Revel in the dual-action benefits of our Dynasty Cream. This facial moisturizer not only hydrates your facial skin, but also extends its nurturing touch to your delicate eye area.
Great Gift: Perfect for grand parents, moms, dads, girlfriends and boyfriends as a birthday gift and event for special occasions. Present your loved ones with this dynasty cream korean skincare.","[""Long Lasting Hydration, All Day Long: With a unique blend of 2% niacinamide and 2% squalane, Dynasty Cream expertly maintains your skin's oil-moisture balance. Immerse your skin with Dynasty Cream. Specially formulated to address dry skin, this Korean moisturizer reigns supreme in hydrating your face."", ""Radiant Dewy Complexion: Dynasty Cream stands out with its luxuriously dense and firm texture, a hallmark of Beauty of Joseon's creams. This proprietary texture offers more than just moisture; it delivers a dewy, radiant finish to your skin."", ""All-in-One Solution: Dynasty Cream isn't just any moisturizer \u2013 it's your complete skincare solution. Packed with multiple benefits, it balances oil and moisture, protects from external elements, and enhances your skin's radiance. Experience the power of an all-in-one cream that simplifies your skincare routine while delivering remarkable results."", ""Double Moisturizer: Revel in the dual-action benefits of our Dynasty Cream. This facial moisturizer not only hydrates your facial skin, but also extends its nurturing touch to your delicate eye area."", ""Great Gift: Perfect for grand parents, moms, dads, girlfriends and boyfriends as a birthday gift and event for special occasions. Present your loved ones with this dynasty cream korean skincare.""]","{""Product Dimensions"": ""2.52 x 2.17 x 2.56 inches; 6.38 ounces"", ""Item model number"": ""8809525249565"", ""Manufacturer"": ""COSMECCA KOREA CO.,LTD."", ""ASIN"": ""B08WJQ3XJD"", ""Best Sellers Rank"": ""#1,240 in Beauty & Personal Care (See Top 100 in Beauty & Personal Care)\n#37 in Face Moisturizers"", ""Customer Reviews"": ""4.5\n(3,879)""}",[],"[""https://m.media-amazon.com/images/I/31tPYYXIJrL.jpg"", ""https://m.media-amazon.com/images/I/41VsLIGyoAL.jpg"", ""https://m.media-amazon.com/images/I/41ysRx+98nL.jpg"", ""https://m.media-amazon.com/images/I/41VSwqtBcDL.jpg"", ""https://m.media-amazon.com/images/I/41WgHYzWw0L.jpg"", ""https://m.media-amazon.com/images/I/419i6abTBCL.jpg"", ""https://m.media-amazon.com/images/I/41z4YYy9obL.jpg""]",,2025-04-15 17:43:32
B0CVKM5MMH,https://www.amazon.com/dp/B0CVKM5MMH,"Beauty of Joseon Dynasty Cream Hydrating Face Moisturizer for Dry, Sensitive Skin, Korean Skincare for Men and Women 100ml, 3.38 fl.oz",16.99,4.5,3879,"About this item
Long Lasting Hydration, All Day Long: With a unique blend of 2% niacinamide and 2% squalane, Dynasty Cream expertly maintains your skin's oil-moisture balance. Immerse your skin with Dynasty Cream. Specially formulated to address dry and acne prone skin, this Korean moisturizer reigns supreme in hydrating your face.
Radiant Dewy Complexion: Dynasty Cream stands out with its luxuriously dense and firm texture, a hallmark of Beauty of Joseon's creams. This proprietary texture offers more than just moisture; it delivers a dewy, radiant finish to your skin.
All-in-One Solution: Dynasty Cream isn't just any moisturizer – it's your complete skincare solution. Packed with multiple benefits, it balances oil and moisture, protects from external elements, and enhances your skin's radiance. Experience the power of an all-in-one cream that simplifies your skincare routine while delivering remarkable results.
Double Repair Brilliance: Revel in the dual-action benefits of our Dynasty Cream. This facial moisturizer not only repairs and rejuvenates your facial skin, but also extends its nurturing touch to your delicate eye area.
Great Gift: Perfect for grand parents, moms, dads, girlfriends and boyfriends as a birthday gift and event for special occasions. Present your loved ones with this dynasty cream korean skincare.","[""Long Lasting Hydration, All Day Long: With a unique blend of 2% niacinamide and 2% squalane, Dynasty Cream expertly maintains your skin's oil-moisture balance. Immerse your skin with Dynasty Cream. Specially formulated to address dry and acne prone skin, this Korean moisturizer reigns supreme in hydrating your face."", ""Radiant Dewy Complexion: Dynasty Cream stands out with its luxuriously dense and firm texture, a hallmark of Beauty of Joseon's creams. This proprietary texture offers more than just moisture; it delivers a dewy, radiant finish to your skin."", ""All-in-One Solution: Dynasty Cream isn't just any moisturizer \u2013 it's your complete skincare solution. Packed with multiple benefits, it balances oil and moisture, protects from external elements, and enhances your skin's radiance. Experience the power of an all-in-one cream that simplifies your skincare routine while delivering remarkable results."", ""Double Repair Brilliance: Revel in the dual-action benefits of our Dynasty Cream. This facial moisturizer not only repairs and rejuvenates your facial skin, but also extends its nurturing touch to your delicate eye area."", ""Great Gift: Perfect for grand parents, moms, dads, girlfriends and boyfriends as a birthday gift and event for special occasions. Present your loved ones with this dynasty cream korean skincare.""]","{""Product Dimensions"": ""1.59 x 1.59 x 7.05 inches; 3.53 ounces"", ""Manufacturer"": ""COSMECCA KOREA CO.,LTD."", ""ASIN"": ""B0CVKM5MMH"", ""Best Sellers Rank"": ""#1,194 in Beauty & Personal Care (See Top 100 in Beauty & Personal Care)\n#33 in Face Moisturizers"", ""Customer Reviews"": ""4.5\n(3,879)""}",[],"[""https://m.media-amazon.com/images/I/216hbl72uVL.jpg"", ""https://m.media-amazon.com/images/I/41VsLIGyoAL.jpg"", ""https://m.media-amazon.com/images/I/41ysRx+98nL.jpg"", ""https://m.media-amazon.com/images/I/41VSwqtBcDL.jpg"", ""https://m.media-amazon.com/images/I/41WgHYzWw0L.jpg"", ""https://m.media-amazon.com/images/I/417Do2MFfnL.jpg"", ""https://m.media-amazon.com/images/I/31GG2ujjYTL.jpg""]",,2025-04-15 17:44:29
B08RLZ28QK,https://www.amazon.com/dp/B08RLZ28QK,"Beauty of Joseon Ginseng Essence Water Hydrating Face Toner for Dry, Dull Skin. Korean Moisturizing Skin Care for Men and Women 150ml, 5 fl.oz",1849.0,4.6,4518,"About this item
Skin Harmony: Whether you're dealing with oily or dry skin, this ginseng essence water serves as a gentle astringent, toner, and hydrating solution, leaving your face feeling revitalized and glowing.
K-Beauty Essential: Elevate your personal care routine with Beauty of Joseon, where traditional Korean skincare meets modern beauty. A perfect fusion of toner, moisturizer, and essence, making it the best in Korean skincare.
Key Ingredients: Ginseng Water 80% for moisturizing and energizing the skin with full nutrition. Niacinamide 2% for Niacinamide 2% for skin barrier, tone up, pore closing. BHA 0.5% for exfoliating
[Ginseng hydration] Ginseng is a vital herbal ingredient that has been used for a long time for our body and skin health. It contains 80% of ginseng water and focuses on the benefits of ginseng itself, giving sufficient moisture and nutrition to the skin. It fills moisture and nutrition firmly to help keep your skin moisturized for a long period of time.
Great Gift: Perfect for grand parents, moms, dads, girlfriends and boyfriends as a birthday gift and event for special occasions. Present your loved ones with this ginseng essence water korean skincare.","[""Skin Harmony: Whether you're dealing with oily or dry skin, this ginseng essence water serves as a gentle astringent, toner, and hydrating solution, leaving your face feeling revitalized and glowing."", ""K-Beauty Essential: Elevate your personal care routine with Beauty of Joseon, where traditional Korean skincare meets modern beauty. A perfect fusion of toner, moisturizer, and essence, making it the best in Korean skincare."", ""Key Ingredients: Ginseng Water 80% for moisturizing and energizing the skin with full nutrition. Niacinamide 2% for Niacinamide 2% for skin barrier, tone up, pore closing. BHA 0.5% for exfoliating"", ""[Ginseng hydration] Ginseng is a vital herbal ingredient that has been used for a long time for our body and skin health. It contains 80% of ginseng water and focuses on the benefits of ginseng itself, giving sufficient moisture and nutrition to the skin. It fills moisture and nutrition firmly to help keep your skin moisturized for a long period of time."", ""Great Gift: Perfect for grand parents, moms, dads, girlfriends and boyfriends as a birthday gift and event for special occasions. Present your loved ones with this ginseng essence water korean skincare.""]","{""Product Dimensions"": ""1.97 x 1.97 x 6.69 inches; 9.17 ounces"", ""Item model number"": ""8809738310960"", ""Date First Available"": ""February 24, 2021"", ""ASIN"": ""B08RLZ28QK"", ""Best Sellers Rank"": ""#4,723 in Beauty & Personal Care (See Top 100 in Beauty & Personal Care)\n#41 in Facial Toners & Astringents"", ""Customer Reviews"": ""4.6\n(4,518)""}",[],"[""https://m.media-amazon.com/images/I/31cACBPN64L.jpg"", ""https://m.media-amazon.com/images/I/21-7hM83rCL.jpg"", ""https://m.media-amazon.com/images/I/31WRLaO9v+L.jpg"", ""https://m.media-amazon.com/images/I/315xllMVQ7L.jpg"", ""https://m.media-amazon.com/images/I/41OBEDk3rKL.jpg"", ""https://m.media-amazon.com/images/I/41drQ4TJGNL.jpg"", ""https://m.media-amazon.com/images/I/51kL67UzT8L.jpg""]",,2025-04-15 17:45:27
